SongNumber,SongTitle,AlbumName,ArtistLocation,ArtistName,Duration,KeySignature,Popularity,Tempo,TimeSignature,Year,ArtistFamiliarity,ArtistPopularity,1 Star Artist Popularity,2 Star Artist Popularity,3 Star Artist Popularity,4 Star Artist Popularity,5 Star Artist Popularity,rap/hiphop/rnb,rock,folk/celtic,electronic/trance,metal,punk/grunge/ska,pop/chart,jazz/blues,country,soul/reggae/funk,dance
1,Soul Deep,Dimensions,Memphis TN,The Box Tops,148.03546,6,-1,121.274,4,1969,0.630630038,0.42,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2,Tonight Will Be Alright,Dancing On The Ceiling,Beverly Hills CA,Lionel Richie,307.3824,3,-1,125.197,3,1986,0.776675856,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Floating,Outskirts,Toronto Ontario Canada,Blue Rodeo,491.12771,7,0.405115722,119.826,4,1987,0.636423645,0.45,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
4,Setting Fire to Sleeping Giants,Miss Machine,Morris Plains NJ,The Dillinger Escape Plan,207.77751,7,0.666527846,166.862,4,2004,0.839962768,0.54,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
5,Do You Finally Need A Friend,Occasional Rain,Chicago,Terry Callier,342.56934,6,0.413739836,110.189,3,1972,0.706827671,0.42,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
6,"Barking Dogs (From ""Piouhgd"")",Piouhgd + Widowermaker!,San Antonio TX,Butthole Surfers,450.84689,4,0.593943076,130.586,4,0,0.809323793,0.49,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
7,In A Subtle Way,Pieces Of Time,,Jacob Young,456.30649,1,0,89.667,4,0,0.495445922,0.29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,London England,The Rolling Stones,271.49016,9,0.83449262,139.333,1,0,0.814829656,0.74,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
9,Human Cannonball,Grown Man,Chapel Hill NC,Loudon Wainwright III,190.48444,3,0.510119314,102.428,4,1995,0.661080168,0.44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Glory Be,A Bothered Mind,Oxford MS,R.L. Burnside,277.78567,2,0.482137585,89.984,4,2004,0.701180874,0.47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11,Crossfire,Greatest Hits,Dallas TX,Stevie Ray Vaughan,248.78975,1,-1,116.721,4,1992,0.73379894,0.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12,I Can't Be Satisfied,Bluesman,,John Hammond,195.3171,7,-1,123.142,4,2002,0.590692918,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Nashville Parthenon,Etiquette,,Casiotone For The Painfully Alone,175.72526,0,0.785892288,141.919,4,2006,0.665322162,0.39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
14,Certain Things We Do,Love_ Peace & Nappiness,South Jamaica Queens,Lost Boyz,269.7922,7,0.405115722,90.218,4,1997,0.569741152,0.41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Forming,Germicide,Los Angeles CA,The Germs,206.05342,11,-1,133.144,1,1977,0.640048357,0.4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
16,Driving Home For Christmas,The Road To Hell Part 2,Middlesbrough England,Chris Rea,241.162,9,0.767727748,180.149,4,1986,0.643182773,0.5,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
17,Tous Les Garcons Et Les Filles,Be Yourself Tonight,London England,Eurythmics,207.0722,0,0.38293509,84.164,4,1985,0.75100762,0.52,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
18,Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol,Garnant Wales,John Cale,228.46649,7,0.226555314,137.004,1,1997,0.749317801,0.48,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
19,Stream,The Ultimate Most Relaxing New Age Piano in the Universe,California - SF,Suzanne Ciani,239.59465,7,0.415983118,106.33,4,0,0.631946666,0.38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,Wicker Chair,Holy Roller Novocaine,Nashville Tennessee,Kings Of Leon,187.92444,0,0.685940227,116.823,4,2003,0.845768866,0.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
21,Stickin In My Eye,White Trash ......,Berkeley CA,NOFX,144.50893,4,0.671236027,152.622,4,1992,0.778816717,0.55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
22,Entre Canibales,Cancion Animal,,Soda Stereo,246.69995,7,0.62616576,112.903,4,1990,0.711165787,0.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Panama (Remastered Album Version),The Best Of Both Worlds,Pasadena CA,Van Halen,209.29261,8,0.82448213,140.995,1,0,0.744641246,0.58,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
