"SongNumber","Songtitle","","","AlbumName","","","ArtistLocation","","ArtistName","","","","Danceability","Duration","KeySignature","KeySignatureConfidence","Popularity","Tempo","TimeSignature","TimeSignatureConfidence","Year","ArtistFamiliarity","ArtistPopularity","Genre 1","Genre 2","Genre 3","Genre 4","Genre 5","Genre 6","Genre 7","Genre 8","Genre 9","Genre 10","Genre 11","Genre 12","Genre 13","Genre 14","Genre 15","Genre 16","Genre 17","Genre 18","Genre 19","Genre 20","Genre 21","Genre 22"
"1","b'Deep Sea Creature'","Deep Sea Creature'","Deep Sea Creature","b'Call of the Mastodon'","Call of the Mastodon'","Call of the Mastodon","Atlanta GA'","Atlanta GA","Mastodon'","Mastodon'","Mastodon'","Mastodon","0","280.21506","5","0.555","0.597640798","173.205","5","0.12","2001","0.780461749","0.574274731","","","","","","","","","","","","","","","","","","","","","",""
"2","b'I Didn't Mean To""","I Didn't Mean To""","I Didn't Mean To","b'Fear Itself'","Fear Itself'","Fear Itself","California - LA'","California - LA","Casual'","Casual'","Casual'","Casual","0","218.93179","1","0.736","0.60211999","92.19799999999999","4","0.778","0","0.581793766","0.401997543","","","","","","","","","","","","","","","","","","","","","",""
"3","b'Soul Deep'","Soul Deep'","Soul Deep","b'Dimensions'","Dimensions'","Dimensions","Memphis TN'","Memphis TN","The Box Tops'","The Box Tops'","The Box Tops'","The Box Tops","0","148.03546","6","0.169","nan","121.274","4","0.384","1969","0.6306300379999999","0.417499645","classic pop and rock","","","","","","","","","","","","","","","","","","","","",""
"4","b'Something Girls'","Something Girls'","Something Girls","b'Friend Or Foe'","Friend Or Foe'","Friend Or Foe","London England'","London England","Adam Ant'","Adam Ant'","Adam Ant'","Adam Ant","0","233.40363","0","0.751","nan","119.293","4","0","1982","0.630382334","0.454231157","uk ","british ","english","","","","","","","","","","","","","","","","","","",""
"5","b'Face the Ashes'","Face the Ashes'","Face the Ashes","b'Muertos Vivos'","Muertos Vivos'","Muertos Vivos","","","Go","Go","Go","Go","0","209.60608","2","0.092","0.604500739","129.738","4","0.5620000000000001","2007","0.6510456610000001","0.401723686","","","","","","","","","","","","","","","","","","","","","",""
"6","b'The Moon And I (Ordinary Day Album Version)'","The Moon And I (Ordinary Day Album Version)'","The Moon And I (Ordinary Day Album Version)","b'Ordinary Day'","Ordinary Day'","Ordinary Day","","","Jeff And Sheri Easter'","Jeff And Sheri Easter'","Jeff And Sheri Easter'","Jeff And Sheri Easter","0","267.7024","5","0.635","nan","147.782","3","0.454","0","0.535292736","0.385470551","","","","","","","","","","","","","","","","","","","","","",""
"7","b'Keepin It Real (Skit)'","Keepin It Real (Skit)'","Keepin It Real (Skit)","b'Da Ghetto Psychic'","Da Ghetto Psychic'","Da Ghetto Psychic","Ohio'","Ohio","Rated R'","Rated R'","Rated R'","Rated R","0","114.78159","1","0","nan","111.787","1","0","0","0.556495602","0.261941177","","","","","","","","","","","","","","","","","","","","","",""
"8","b'Drop of Rain'","Drop of Rain'","Drop of Rain","b'Gin & Phonic'","Gin & Phonic'","Gin & Phonic","Burlington Ontario Canada'","Burlington Ontario Canada","Tweeterfriendly Music'","Tweeterfriendly Music'","Tweeterfriendly Music'","Tweeterfriendly Music","0","189.57016","4","0","nan","101.43","3","0.408","0","0.801136447","0.6055071359999999","","","","","","","","","","","","","","","","","","","","","",""
"9","b'Pink World'","Pink World'","Pink World","b'Pink World'","Pink World'","Pink World","","","Planet P Project'","Planet P Project'","Planet P Project'","Planet P Project","0","269.81832","4","0.717","0.265861049","86.643","4","0.487","1984","0.426667857","0.332275747","","","","","","","","","","","","","","","","","","","","","",""
"10","b'Insatiable (Instrumental Version)'","Insatiable (Instrumental Version)'","Insatiable (Instrumental Version)","b'Superinstrumental'","Superinstrumental'","Superinstrumental","","","Clp'","Clp'","Clp'","Clp","0","266.39628","7","0.053","nan","114.041","4","0.878","0","0.5505136980000001","0.422705641","","","","","","","","","","","","","","","","","","","","","",""
"11","b'Young Boy Blues'","Young Boy Blues'","Young Boy Blues","b'I Need You'","I Need You'","I Need You","North Carolina'","North Carolina","JennyAnyKind'","JennyAnyKind'","JennyAnyKind'","JennyAnyKind","0","218.77506","5","0.354","0","146.765","1","0","0","0.360031166","0.296268954","","","","","","","","","","","","","","","","","","","","","",""
