SongNumber,SongTitle,AlbumName,ArtistLocation,ArtistName,Duration,KeySignature,KeySignatureConfidence,Popularity,Tempo,TimeSignature,TimeSignatureConfidence,Year,ArtistFamiliarity,ArtistPopularity,1 Star Artist Popularity,2 Star Artist Popularity,3 Star Artist Popularity,4 Star Artist Popularity,5 Star Artist Popularity,rap/hiphop/rnb,rock,folk/celtic,electronic/trance,metal,punk/grunge/ska,pop/chart,jazz/blues,country,soul/reggae/funk,dance
3,Soul Deep,Dimensions,Memphis TN,The Box Tops,148.03546,6,0.169,nan,121.274,4,0.384,1969,0.630630038,0.42,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
14,Tonight Will Be Alright,Dancing On The Ceiling,Beverly Hills CA,Lionel Richie,307.3824,3,0.524,nan,125.197,3,0.211,1986,0.776675856,0.55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
15,Floating,Outskirts,Toronto Ontario Canada,Blue Rodeo,491.12771,7,1,0.405115722,119.826,4,0.756,1987,0.636423645,0.45,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
23,Setting Fire to Sleeping Giants,Miss Machine,Morris Plains NJ,The Dillinger Escape Plan,207.77751,7,0.381,0.666527846,166.862,4,0,2004,0.839962768,0.54,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
30,Do You Finally Need A Friend,Occasional Rain,Chicago,Terry Callier,342.56934,6,0.381,0.413739836,110.189,3,0.353,1972,0.706827671,0.42,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
36,"Barking Dogs (From ""Piouhgd"")",Piouhgd + Widowermaker!,San Antonio TX,Butthole Surfers,450.84689,4,0.726,0.593943076,130.586,4,0.42,0,0.809323793,0.49,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
39,In A Subtle Way,Pieces Of Time,,Jacob Young,456.30649,1,0.611,0,89.667,4,0.747,0,0.495445922,0.29,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
42,Angie (1993 Digital Remaster),Jump Back - The Best Of The Rolling Stones_ '71-'93,London England,The Rolling Stones,271.49016,9,0.301,0.83449262,139.333,1,0,0,0.814829656,0.74,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0
44,Human Cannonball,Grown Man,Chapel Hill NC,Loudon Wainwright III,190.48444,3,0.544,0.510119314,102.428,4,0.496,1995,0.661080168,0.44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
45,Glory Be,A Bothered Mind,Oxford MS,R.L. Burnside,277.78567,2,0,0.482137585,89.984,4,0,2004,0.701180874,0.47,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,Crossfire,Greatest Hits,Dallas TX,Stevie Ray Vaughan,248.78975,1,0.754,nan,116.721,4,0.522,1992,0.73379894,0.54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
47,I Can't Be Satisfied,Bluesman,,John Hammond,195.3171,7,0.98,nan,123.142,4,0.678,2002,0.590692918,0.45,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
48,Nashville Parthenon,Etiquette,,Casiotone For The Painfully Alone,175.72526,0,0.522,0.785892288,141.919,4,0.445,2006,0.665322162,0.39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
51,Certain Things We Do,Love_ Peace & Nappiness,South Jamaica Queens,Lost Boyz,269.7922,7,0.715,0.405115722,90.218,4,1,1997,0.569741152,0.41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
52,Forming,Germicide,Los Angeles CA,The Germs,206.05342,11,0.641,nan,133.144,1,0,1977,0.640048357,0.40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54,Driving Home For Christmas,The Road To Hell Part 2,Middlesbrough England,Chris Rea,241.162,9,0.222,0.767727748,180.149,4,0,1986,0.643182773,0.50,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
56,Tous Les Garcons Et Les Filles,Be Yourself Tonight,London England,Eurythmics,207.0722,0,0.442,0.38293509,84.164,4,0.853,1985,0.75100762,0.52,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0
58,Movement 4 [from Kiss] (Album Version),Eat / Kiss: Music For The Films By Andy Warhol,Garnant Wales,John Cale,228.46649,7,0.458,0.226555314,137.004,1,0,1997,0.749317801,0.48,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
59,Stream,The Ultimate Most Relaxing New Age Piano in the Universe,California - SF,Suzanne Ciani,239.59465,7,0.527,0.415983118,106.33,4,0.526,0,0.631946666,0.38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,Wicker Chair,Holy Roller Novocaine,Nashville Tennessee,Kings Of Leon,187.92444,0,0.612,0.685940227,116.823,4,0.347,2003,0.845768866,0.79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
65,Stickin In My Eye,White Trash ......,Berkeley CA,NOFX,144.50893,4,0.093,0.671236027,152.622,4,0.358,1992,0.778816717,0.55,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
67,Entre Canibales,Cancion Animal,,Soda Stereo,246.69995,7,0.161,0.62616576,112.903,4,1,1990,0.711165787,0.47,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
72,Panama (Remastered Album Version),The Best Of Both Worlds,Pasadena CA,Van Halen,209.29261,8,0.455,0.82448213,140.995,1,0.41,0,0.744641246,0.58,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
73,Let's Get It Started,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,Los Angeles CA,Black Eyed Peas,229.61587,11,0.205,0.624425493,105.206,4,1,2004,0.845601887,1.01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
74,Metal,Things Falling Apart,Cleveland OH,Nine Inch Nails,426.89261,0,0.05,0.635536649,63.017,4,0.378,2000,0.905776889,0.60,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0
75,She Fell Away (2009 Digital Remaster),Your Funeral... My Trial (2009 Digital Remaster),,Nick Cave & The Bad Seeds,269.26975,9,0.052,nan,144.603,4,0,0,0.694021648,0.48,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
77,It's My Party,60's Triple set,New York NY,Lesley Gore,136.48934,9,0.386,nan,129.122,1,0,1963,0.606925359,0.39,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
82,I'm Gone This Time,Unconditional Love,Delight AR,Glen Campbell,142.75873,1,0.62,nan,137.29,4,0,0,0.67159627,0.48,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
85,You Can Still Be Free,Affirmation,CA,Savage Garden,118.33424,9,0,nan,84.69,5,0.678,1999,0.728209707,0.54,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
86,I Never Came,Lullabies To Paralyze,,Queens Of The Stone Age,288.41751,2,0.08,0.725121284,115.606,4,0,2005,0.798645179,0.55,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
88,Commercial Reign,The Singles,Manchester England,Inspiral Carpets,283.76771,2,0.823,0.665172241,113.677,4,1,1990,0.605109702,0.40,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
